,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
10,new,11/24/16 8:18,"new LAKE WANNA SIX PACK (TM) graphic tees. Show your love of Lake Wallenpaupack, the big lake in the Pocono Lakes Region of PA, or your favorite lake 100% ultra cotton Gildan graphic tees: men's L and men's XL. Other sizes are available. Colors: Carolina Blue Charcoal Dark Heather Forest Green Maroon Navy Gold Cash or credit card.  Local pick-up or free delivery. Great for Christmas presents! Call Barbara at show contact info",,5886351425,15,,"https://maps.google.com/maps/preview/@41.371063,-75.243061,16z",,$15 ,human, (Lake Wallenpaupack),new LAKE WANNA SIX PACK (TM) graphic tees - great for CHRISTMAS!,https://poconos.craigslist.org/boa/5886351425.html,
11,new,11/24/16 8:16,"brand new 24"" PLATINUM BENNINGTON PONTOON BOAT GATE FILLER SEAT. Brand new, never been used.",,5886340600,24,,"https://maps.google.com/maps/preview/@41.370960,-75.243061,16z",,$250 ,power, (Lake Wallenpaupack),"brand new 24"" PLATINUM BENNINGTON PONTOON BOAT GATE FILLER SEAT",https://poconos.craigslist.org/boa/5886340600.html,
12,good,11/24/16 7:18,"Super fishing package and fully loaded. Water and fish ready. Scared cat fast and will get you from point A to B in a hurry. Speedometer does not work (factory type and may just be a tubing leak) but GPSed at 60+. Rock solid on the water. This is a package that was built by Tracker for Nitro. I will consider selling just the boat and trailer without the motor for $5,200.00 if you've got your own power. Boat is rated for up to 175 HP. The boat: 2000 Nitro by Tracker. Very well kept. All new seats. (plus 2 used spare seats. One with back and no post. One with no back and a tall post) Loads of storage compartments. New Humminbird 197c fishfinder at console and factory Tracker Pro 128 at the bow. Motor Guide Tracker 60, 12/24 volt trolling motor. On board 2 bank battery charger. Two bilge pumps. One factory and one new automatic.  Two live well pumps. One is new.  Detailed wiring. Three location trim controls. New dual steering cables. Well accented dash with water temp, fuel, volts, trim, water pressure, tack, speedo,  40 gallon gas tank and large oil tank for oil injection. Good on gas too. Current registration and clear title for boat. The motor: Mercury XR6 150 HP. Stainless steel prop. Recent maintenance included new plugs, impeller and lower unit lube. Starts easy and runs smooth. The Trailer: Two new wheels and tires. (700 miles) Two spares. Surge disc brakes. New breakaway safety cable. Bearing buddies with covers. Swing away tongue. Detailed wiring. New heavy duty transom saver.  ""UPDATE"" - Clear title now in my name. I went way over budget when purchasing this package and doing upgrades this Summer to take to Canada but just can't afford to keep it. I'm only a bit negotiable when looking at cash because the season is still strong. You need to SEE this setup so don't bother with offers unless in person.",,5880344065,18,Tracker,,Nitro NX882,"$8,250 ",power, (N. E. PA.),"""UPDATE"" - 18' 2000 Nitro NX882. XR6 150 HP Merc.",https://poconos.craigslist.org/boa/5880344065.html,2000
13,,11/23/16 18:27,"Well maintained 18 foot open bow wellcraft. Tent/Garage Kept. Runs excellent 4 cylinder inboard and great on gas. Boat is currrently winterized. Include all onboard items. depth finder, jackets, ropes etc.. Includes 2006 Venture trailer in very good condition. Boat is fuisy operational and ready to go. extremely good boat for firstimer or novice looking for something that will not give them any problems. call for details.",,5890017199,18,,"https://maps.google.com/maps/preview/@40.962401,-75.793133,16z",,"$2,900 ",power, (NEPA),1986  Wellcraft 18' openbow,https://poconos.craigslist.org/boa/5890017199.html,
14,,11/23/16 18:26,"Well maintained 18 foot open bow wellcraft. Tent/Garage Kept. Runs excellent 4 cylinder inboard, currrently winterized. Include all onboard items. depth finder, jackets, ropes etc.. Includes 2006 Ventura trailer boat is fully operational and ready to go. extremely good boat for firstimer or novice looking for something that will not give them any problems. call for details",,5886860181,18,Wellcraft,"https://maps.google.com/maps/preview/@40.941100,-75.830600,16z",American 180,"$2,900 ",power, (NEPA),1986 18' foot wellcraft bowrider,https://poconos.craigslist.org/boa/5886860181.html,
15,new,11/23/16 10:08,"new LAKE WANNA SIX PACK (TM) graphic tees. Show your love of Lake Wallenpaupack, the big lake in the Pocono Lakes Region of PA, or your favorite lake 100% ultra cotton Gildan graphic tees: men's L and men's XL. Other sizes are available. Colors: Carolina Blue Charcoal Dark Heather Forest Green Maroon Navy Gold Cash or credit card. Local pick-up or free delivery. Great for Christmas presents! Call Barbara at show contact info",,5889277275,15,,"https://maps.google.com/maps/preview/@41.371063,-75.243198,16z",,$15 ,human, (Lake Wallenpaupack),new LAKE WANNA SIX PACK (TM) graphic tees - great for CHRISTMAS!,https://poconos.craigslist.org/boa/5889277275.html,
16,new,11/23/16 10:08,"brand new 24"" PLATINUM BENNINGTON PONTOON BOAT GATE FILLER SEAT.  Brand new, never been used.",,5884826179,24,,"https://maps.google.com/maps/preview/@41.371373,-75.243473,16z",,$250 ,power, (Lake Wallenpaupack),"brand new 24"" PLATINUM BENNINGTON PONTOON BOAT GATE FILLER SEAT",https://poconos.craigslist.org/boa/5884826179.html,
17,excellent,11/22/16 20:51,"Custom made 22' Odessey boat.The most powerful electric motor(5 batteries).CD/Radio player.Night lights.Very good condition,was couple of times on the water.Origional price - 26 000.00",,5888789436,22,Odessey,"https://maps.google.com/maps/preview/@41.233800,-75.257300,16z",,"$8,999 ",power, (Canadensis),22' Pantoon Boat,https://poconos.craigslist.org/boa/5888789436.html,2007
18,fair,11/22/16 9:04,I have a 1982 17ft sea Ray fs/ft has a four cylinder 470 mercruiser 3.7L new cap rotar plugs wires got new points and condenser need to be installed still runs i have both the boat and trailer title in hand previous owner replaced floors but didn't replace the carpet just lost interest in the boating thing currently winterize and covered call or text with any questions,,5887731644,17,Sea ray,"https://maps.google.com/maps/preview/@40.891494,-75.313645,16z",17 ft open bow,"$1,500 ",power, (Saylorsburg),82 sea ray,https://poconos.craigslist.org/boa/5887731644.html,1982
19,,11/21/16 21:51,In good shape! Serious inquiries only! Call/text Tara @ show contact info,,5851386378,8,Calypso,"https://maps.google.com/maps/preview/@40.821900,-75.910400,16z",,$200 ,human, (Coaldale),Calypso 4 Person Paddle/Pedal Boat,https://poconos.craigslist.org/boa/5851386378.html,
20,good,11/21/16 15:09,"1990 Cobia Boat 18' Spirit 1800 Comes with 1990 Tennessee Trailer seen in pictures. Runs great lots of fun for tubing or pleasure. Straight 6cyl, I/O Seats 8 people. Comes with full transport cover and seperate top. $2700 obo",,5886838549,18,Cobia Boat Co,"https://maps.google.com/maps/preview/@41.358235,-74.815606,16z",Spirit 18,"$2,700 ",power," (MILFORD, PA)",90 Cobia spirit boat,https://poconos.craigslist.org/boa/5886838549.html,1990
21,,11/21/16 12:39,"2014 Palm Beach 240 w/Mercury 50hp,  Includes Full Vinyl Floor, Upgrade to 25"" Pontoons, Play Pen Cover, Bimini Top, Jensen MS30 Stereo System w/USB/Aux Input, Courtesy Lights, Stern Entry w/Ladder ,Tilt Wheel, Table, INCLUDES COAST GUARD PACKAGE,LARGE TOWABLE TUBE....GREAT CONDITION...Check it out at Lake Hopatcong Marine (Sanbar Location)545 Howard Blvd Lake Hopatcong, NJ... show contact info BUY NOW SAVE THOUSANDS",,5848946227,24,,"https://maps.google.com/maps/preview/@40.950600,-74.612900,16z",,"$18,500 ",power, (Lake Hopatcong),2014 Palm Beach 24ft Pontoon w/50hp,https://poconos.craigslist.org/bod/5848946227.html,
22,,11/21/16 12:35,"This is a 72 ODay 22ft Sail Boat w/5hp Mercury O/B......was never in saltwater, stored on land for last few years.....NO DAMAGE AT ALL TO HULL.....PICTURES TAKEN 11/6/16... SOLD AS IS WHERE IS, COME GET IT... I HAVE CLEAN TITLE NO TRAILER, IF YOUR READING THIS AD BOAT IS STILL FOR SALE",,5864013717,22,,"https://maps.google.com/maps/preview/@40.950600,-74.612900,16z",,$500 ,sail, (Lake Hopatcong),1972 O Day 22ft SailBoatw/5hp merc,https://poconos.craigslist.org/bod/5864013717.html,
23,like new,11/21/16 12:22,New condition boat.   Very low hr.  Come with factory cover. 60 hp mercury.,,5871455739,18,Tracker,"https://maps.google.com/maps/preview/@41.422300,-75.260700,16z",Pro 175 txw,"$14,900 ",power, (Lake Wallenpaupack),2015 Bass Tracker pro 175 TXW,https://poconos.craigslist.org/boa/5871455739.html,2015
24,fair,11/21/16 10:31,"Hello,I Have An 8' Wooden Row Boat For Sale...Must Sell...Laid Off From Job,In Addition To Mrs. Passing Away 8 Months Ago...$55.00 or BO...Thank You...",,5868499493,8,na,"https://maps.google.com/maps/preview/@41.128500,-75.013200,16z",na,$55 ,human, (Bushkill pa),8' Wooden Row Boat,https://poconos.craigslist.org/boa/5868499493.html,
25,,11/21/16 9:17,"Glassport 17' Fish and Ski boat Tennessee Trailer  with new tires Mercury 2 stroke Force 90hp motor Strong motor, sound boat 2 fish finders, trolling motor, 2 live wells, radio three new batteries, new starter, boat kept under cover $3,250 or best offer Wife says I have to clean out my toy box!!",,5886206945,17,Glassport,,,"$3,250 ",power, (Cresco),Glassport Fish & Ski,https://poconos.craigslist.org/boa/5886206945.html,1991
26,,11/21/16 8:42,"Hardwood mix oak,maple,ash 125.00 a cord free delivery within 15 miles of saylorsburg 20.00 delivery charge over the 15 mile. Thank you for your business.",,5877142700,16,,,,$125 ,human, (saylorsburg),firewood for sale,https://poconos.craigslist.org/boa/5877142700.html,
27,excellent,11/20/16 9:28,"1991 Grady White 20' overnighter, re-powered with 150hp evinrude e-tec outboard motor, new gauges, cost of repowering $16,000.00 new throttle, cables & linkage. New fuel line, new Bimini top, new fish-finder w/side structure scan. Lorance ($1,400.00) unit. Motor has 5 year warranty from 4/12/2013 . Stainless steel prop. Motor has less than30 hours. Boat is in good shape. Galvanized trailer w/ new winch. These new motors take very little gas and are rated as either the best or one of the best for not polluting the environment. they are easy to flush and take less than 5 minutes to winterize. Nothing needed to winterize. Has automatic fogging for winterizing. Any questions please text show contact info Must sell due to change in circumstances. To see more pictures see add on craigslist harrisburg.",20,5884886329,20,Grady White,https://maps.google.com/?q=loc%3A+%35+Hilltop+Dr+Grantville+PA+US,20' overnighter,"$12,500 ",power, (Grantville),"Grady White 20"" W/new ETECH motor",https://poconos.craigslist.org/boa/5884886329.html,1991
28,,11/20/16 1:56,"For sale 18 foot 1992 Sunbird corsair with a v6 4.3L OMC cobra engine, comes with trailer and yes i have titles for both. Boat still needs some work like interior put back together and motor needing a starter, other than that the hull is in great shape, trailers straight and rides straight even at 65mph. I have the fuel tank, its just not pictured in the pictures because i took it out to replace the floor. New trailer lights and valve cover gaskets. (pics posted are how it currently sits and yes its being garage kept) located in forty fort pa 18704, asking $1000 or best reasonable offer, accepting trades and lowballers please keep those offers to yourselves as ill simply ignore you because im in no rush to get rid of, just have other projects that need finishing, serious inquires only. Call or text 570534165four",,5884684979,18,Sunbird,,,"$1,000 ",power, (forty fort),1992 18 foot Sunbird corsair with a v6 inboard motor for sale or trade,https://poconos.craigslist.org/boa/5884684979.html,
29,,11/19/16 14:44,"BUY NOW PRICING....2013 Premier Sunsation 240 SL Rigged with Mercury 90hp 4S Specifications Overall Length 24' 5"" Deck Length 23' Width 8' 6"" Weight (2 Tubes) 2150 lbs. Features * 9' Bimini * 25"" Tubes * Durango carpet *Split Rear Lounge Seats. Signature couches & 7-Star Helm chair * Changing room * Spirt I Helm * Carbon Fiber Gauges * Hawk II Steering Wheel * * 21 Gallon Fuel Tank * LED docking lights * SS cleats * 5 step SS ladder **Command View Raised Helm * Spirt II Helm.. BOAT RUNS GREAT,PRICED TO SELL.. AS IS CONDITION...NO COVER, NO HOUR METER, AND NO TRAILER.... Stop By Lake Hopatcong Marine 545 Howard Blvd Lake Hopatcong, NJ or call us at show contact info ...STILL TIME FOR TEST DRIVE SO DON'T MISS OUT ON THIS AWESOME DEAL!!!!!!!",,5884022641,24,,"https://maps.google.com/maps/preview/@40.950600,-74.612900,16z",,"$21,999 ",power, (Lake Hopatcong),2013 Premier 240SL Pontoon Boat w/90hp,https://poconos.craigslist.org/bod/5884022641.html,
30,good,11/19/16 6:42,"plastic canoe, no leaks, must sell, also 2 wooden oars, pics available via text NO BULLSHITERS",,5873587225,16,,"https://maps.google.com/maps/preview/@41.667000,-75.118500,16z",,$150 ,human, (Milanville),Canoe 16',https://poconos.craigslist.org/boa/5873587225.html,
31,,11/17/16 17:20,"14 Ft Vagabond Daysailer, good condition on Highlander trailer. New sails and new removable centerboard. Also includes rudder. Discounted for quick sale.",,5881273399,14,,"https://maps.google.com/maps/preview/@40.179000,-77.003600,16z",,$899 ,sail, (Mechanicsburg),Vagabond 14 Ft Sailboat,https://poconos.craigslist.org/boa/5881273399.html,
32,good,11/17/16 12:55,Large aluminum 14 ft rowboat with Sprint EZ-Load trailer. It has a mount on the back where you could attach a small motor. You would have to get paddles since they aren't here. Can throw in a life jacket or two and a cooler and thermos. Please call show contact info (for fastest response) to see the boat and trailer. Serious inquiries only. No texts please.,,5839088699,14,EZ Load,,,$750 ,human, (Bartonsville/Tannersville/Stroudsburg),Large Rowboat 14 ft with galvanized EZ-Load trailer,https://poconos.craigslist.org/boa/5839088699.html,
33,,11/17/16 10:35,I put 5 minutes on the ski and starts right up. going to get 2 tires for trailer. I have a cover for it new in box that i have not put on yet. I have not used in several years. It has a trailer no papperwork but I have a title for the jetski. This has had the motor replaced with a 1100 in a 900 body. This thing flies. I also have a new battery. This is the bring a tow vehicle or take it out of here price at the top. Dont ask me how low i will take. Dont ask me for more pictures. Summers here.,,5838680115,12,,"https://maps.google.com/maps/preview/@41.093600,-75.118700,16z",,"$1,200 ",power, (East Stroudsburg),1997 Kawasaki 1100 ZXI Jet Ski,https://poconos.craigslist.org/boa/5838680115.html,
34,,11/17/16 7:37,NO MOTOR. Boat and trailer only BOS. Is setup for a 350 chevy inboard. show contact info Joe,,5860834805,18,,,,$600 ,power, (Tafton),18'ski boat and custom trlr,https://poconos.craigslist.org/boa/5860834805.html,
35,,11/16/16 21:48,"We have two roller boat trailers for rent. Able to transport boats from 17' to 28'. Boats up to 7, 900 lbs. Good tires, good brakes, two speed winches. $145 1st day, $95 each additional day. We have all types of boats for rent also. Visit our website at 354RENT.com, then call 717-354-RENT (7368) to make your reservation.",,5867877822,20,,"https://maps.google.com/maps/preview/@40.135874,-76.303911,16z",,$145 ,power, (Lititz Pa),"Boat Trailer Rentals, For Rent, Rental",https://poconos.craigslist.org/bod/5867877822.html,
36,good,11/16/16 16:00,"engine hours (total): 325 length overall (LOA): 22 make / manufacturer: Seaark model name / number: Predator propulsion type: power year manufactured: 2012 Selling my 2012 22 ft sea ark predator . It is a 200 hp inboard sport jet. It has the upgraded .190 bottom with k5 Polly spray on it . price will include everything , Minn kota ipolit trolling motor with remote, Anchor wizard , Rod rack with 10 Driftmaster pro duos. onboard 24 volt charger and system will include all lifejackets everything is turn key ready!!! It has 40 gallon live well in back deck and 13 gallon Bait well attached to console",325,5879611557,22,Seaark,"https://maps.google.com/maps/preview/@40.066400,-76.564500,16z",Predator,"$28,500 ",power, (Marietta),2012 sea ark predator,https://poconos.craigslist.org/boa/5879611557.html,2012
37,good,11/16/16 12:36,"I am looking to trade for a couple of running jet skiis, motorcycle or quad equivalent in value or I'll sell for cash.  It has new seats, swivels and tires.  I am going to include everything you would need.  I'm including a '91 EZ Loader Trailer, emergency flotation device, fire extinguisher, anchor, gas tank, pump, 2 spare tires, Force 9.9 hp motor and a tarp with a pvc endo-skeleton I created to keep water out of the boat while storing.  The Force 9.9 hp engine is as reliable as they come and easy to find parts for.  It is newer than the boat but I'm not sure the year or the hours but it runs well and is low maintenance.  When not in use, the motor is kept out of the Elements and in my shed.",,5854954820,14,Alumacraft,"https://maps.google.com/maps/preview/@40.900800,-75.111500,16z",Crappie,"$2,750 ",power, (Mount Bethel),"14"" Alumacraft Crappie with Motor or Trade for Motorcycle or Jet Skii",https://poconos.craigslist.org/boa/5854954820.html,1991
38,good,11/16/16 11:42,"Pelican paddle boat, rarely used. Very good condition. 3 Person, 500lb. capacity. Great Christmas present!",0,5879144598,7,Pelican,https://maps.google.com/?q=loc%3A+State+at+Kresge+Lane+WHITE+HAVEN+PA+US,FIGI,$200 ,human," (White Haven, PA)",Paddle Boat,https://poconos.craigslist.org/boa/5879144598.html,
39,,11/16/16 8:17,"17 Foot Aquaterra Sea Lion Kayak in Yellow, great Kayak I have three of them only need two, great tracking in the lakes, rivers or ocean! $700 Or will consider a trade for: Generator of same value Gary Fisher or Cannondale or similar Mountain bike of same value. Sig Sauer AK-47 Riding mower Hot tub Nice large tool box Shotgun/ deer rifle other?",,5878837272,17,,"https://maps.google.com/maps/preview/@41.093600,-75.118700,16z",,,human,,17 Foot Aquaterra Sea Lion Kayak in Yellow,https://poconos.craigslist.org/boa/5878837272.html,
40,,11/15/16 18:14,handyman don't run new carbs starter needs stator 199.00 on e bay come take it away nice boat with trailer,,5833977891,20,bayliner,"https://maps.google.com/maps/preview/@41.244800,-75.503700,16z",capri,"$2,200 ",power, (gouldsboro),bayliner capri handyman special TRADE FOR JEEP OR EXPLOROR,https://poconos.craigslist.org/boa/5833977891.html,1989
41,,11/15/16 16:19,Orange paddleboat in great working order,,5878091332,7,,"https://maps.google.com/maps/preview/@41.048500,-75.534300,16z",,$120 ,human, (Blaleslee),Paddleboat,https://poconos.craigslist.org/boa/5878091332.html,
42,good,11/15/16 9:46,11 foot 2 man sailboat plus 2 paddles,,5877371475,11,,"https://maps.google.com/maps/preview/@41.439500,-75.431300,16z",,,sail,,2 man Sunfish sailboat,https://poconos.craigslist.org/boa/5877371475.html,
43,fair,11/14/16 14:59,Will trade boat for 70's VW bug.      Value is around $3000. Call show contact info (cell)   NO TEXTS   Tony Trailer included.,,5876327815,17,godfrey,"https://maps.google.com/maps/preview/@40.813800,-76.061100,16z",,,power,,pontoon boat,https://poconos.craigslist.org/boa/5876327815.html,1985
44,,11/13/16 19:06,15ft canoe in moderate shape seat in back needs to be riveted but is water worthy 150 obo call or text 570 352 seven four three five,,5839663768,15,,"https://maps.google.com/maps/preview/@41.332100,-75.281900,16z",,$150 ,human, (Greentown),15ft Canoe,https://poconos.craigslist.org/boa/5839663768.html,
45,excellent,11/13/16 9:31,I am asking 500 for the boat. If you have any other questions please call the number listed.,,5874288508,20,,"https://maps.google.com/maps/preview/@40.870000,-75.739700,16z",LSN240HSV3,,power,,Boat for sale,https://poconos.craigslist.org/boa/5874288508.html,
46,good,11/12/16 23:01,looking to sell or trade my boat bought a jetski no longer use it as often has new down riggers and a new dash with new guages boat only needs a choke primer boat starts and runs strong,,5832027851,19,renken,,115hp,"$2,200 ",power, (dingmans ferry pa),renken 19ft fishing boat,https://poconos.craigslist.org/boa/5832027851.html,1984
47,salvage,11/12/16 15:43,"This Jet Ski has a blown engine.  The Front Piston had a broken ring.. In my opinion its possible to rebuild the top end only and have a functional Jet ski. I have the title for the machine. Prior to the engine failure.. The Jet pump was rebuilt and re sleeved. The Impeller was rebuilt as well.  The seal where the drive shaft meets the hull/water was also replaced recently I had spent $1500 on a SBT engine .. 2 years later the engine failed again. This machine has been sitting in my garage for the past 3 years. I simply do not have any time for it anymore and I don't want to invest anymore money into it. The condition of the machine is "" good""  IT looks great from the top and cleans up really well.  The hull has had a few repairs.. This machine used to be run in the Delaware river so its seen its fair share of rock damage.   There however are no leaks on the machine and the hull is in good working order.",,5873466179,109,Kawasaki,"https://maps.google.com/maps/preview/@41.093600,-75.118700,16z",ZXI 1100,$500 ,power, (East Stroudsburg),02 Kawasaki ZXI 1100 Jet Ski for Parts,https://poconos.craigslist.org/boa/5873466179.html,2002
48,new,11/12/16 13:00,New 2017 Load-Rite 20ft. 2000lb. cap. Galv. Pontoon Trailer 1559.00  22ft. 2550lb. cap. 1659.00 W/WINCHES & TONGUE JACKS *Other Sizes Avail.* *CAMP MARINE Our 56th Year* * show contact info OR show contact info *SHOWN WITH SOME OPTIONAL EQUIPMENT* CLOSED TUES. & SUN.,,5828308509,22,LOAD-RITE,https://maps.google.com/?q=loc%3A+%31%31%30%30+RICHMOND+AVE%2E+PT%2E+PLEASANT+BEACH+PA+US,,"$1,519 ",human, (Pt. Pleasant Beach),PONTOON BOAT TRAILERS(NEW),https://poconos.craigslist.org/bod/5828308509.html,2016
49,excellent,11/11/16 18:01,"Custom made Odessey boat.The most powerfull electric motor (5 batteries).CD/Radio player. Very good condition,was couple of times on the water. Original price - $26000.00.",,5872180084,22,Odyssey,"https://maps.google.com/maps/preview/@41.233800,-75.257300,16z",,"$8,999 ",power, (Canadensis),22' Pantoon Boat,https://poconos.craigslist.org/boa/5872180084.html,2007
50,excellent,11/11/16 16:45,"Snark Sunfish sailboat.   Up to 2 persons can be on board at one time.  The boat is 13 feet long and its capacity is 310 pounds.  It is complete with sail, daggarboard, rudder riggings and fittings.  Mast bar and boom are Aluminum.  Wooden parts are marine varnished.  This sailboat is  easy to handle and very fast.",,5872058635,13,Snark,"https://maps.google.com/maps/preview/@41.422300,-75.260700,16z",,$650 ,human, (lakeville),SNARK SUN FISH SAILBOAT,https://poconos.craigslist.org/boa/5872058635.html,
51,excellent,11/11/16 11:26,"41 Foot 1988 Dan Aranow Blue Thunder one of a kind catamaran boat. Completely remodeled in 2014. Boat runs great, no splash very dry boat, cuts through waves like you wouldn't imagine. Come see for yourself. Boat was originally designed and built by late Race Boat Champion Dan Aranow in 1988 and fully remodeled in 2014. Boat Features the following: - 2 new brackets - twin new 350 hpYamaha engines only 350 Hours - 2 GPS, Surround Sound with 2 Amplifiers - 8 speakers - Cruise speed 32 knots - 400 gallons of gas - Large Cabin (can fit a double bed, TV, AC, etc) - Bathroom with toilet and sink - much more Serious inquiries only.",350,5850773563,41,Catamaran,"https://maps.google.com/maps/preview/@25.852100,-80.182100,16z",Blue Thunder,"$52,500 ",power, (MIAMI),2014 Remodeled41Ft Dan Aranow Blue Thunder Catamaran Boat w Twin 350's,https://poconos.craigslist.org/boa/5850773563.html,1988
52,,11/11/16 6:46,"1998 single consol fiberglass bass boat 18.5' length. Has dual auto/manual live wells Has lowrance gps down scan 8"" at troll station,eagle gps, fishfinder, chartplotter... Locking storage New batteries Motor 150 hp merc. Mantained twice year Very ,very ,very clean no problems starts up just like that top speed 58mph...power steering added on 80lb thrust 24v motor guide trolling motor Rod saver straps Trailer in great shape ""Never had prob selling to buy home ....best boat ive ever owned",,5871104806,18,Ranger,,Fiberglass bass boat single cons,"$6,000 ",power, (White haven),1998 RANGER 18.5 BASS BOAT,https://poconos.craigslist.org/boa/5871104806.html,1998
53,,11/10/16 17:39,14ft aluminum fishing boat for sale or trade. Includes trolling motor and deep cycle battery. Looking for $700 but open to trades of a crossbow or vehicle.,,5852445347,14,,,,$700 ,human, (Coplay/ Whitehall),14ft aluminum fishing boat $700 obo,https://poconos.craigslist.org/boa/5852445347.html,
