,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,model name / number,price,propulsion type,region,title,url,year manufactured
10,excellent,2016-11-21 20:20,"Prijon Performance kayak in very good condition. The kayak is located in Fredericksburg but I occasionally paddle on the Potomac putting in at Angler's and Lock 5 and can arrange to meet someone at either of these locations. Call, text, or email if you are interested. I can send additional full resolution photos that you can zoom in and examine to see the kayak's condition.",,5887288236,85,Prijon,Performance,$300,human, (Fredericksburg),Prijon Performance Kayak,https://washingtondc.craigslist.org/nva/boa/5887288236.html,
11,excellent,2016-11-21 20:17,"Prijon Cross kayak in very good condition. Specs Length 246 cms / 8'0.9"" Width 63 cms / 24.8"" Weight 18.5 kg / 41 lbs Volume 255 ltr / 67.4 gal Cockpit Length 86 cms / 33.9"" Cockpit Width 49 cms / 19.3"" Minimum Paddler Weight 50 kg / 110 lbs Maximum Paddler Weight 105 kg / 231 lbs The kayak is located in Fredericksburg but I occasionally paddle on the Potomac putting in at Angler's and Lock 5 and can arrange to meet someone at either of these locations. Call, text, or email if you are interested. I can send additional full resolution photos that you can zoom in and examine to see the kayak's condition.",,5887284591,8,Prijon,Cross,$350,human, (Fredericksburg),Prijon Cross Kayak,https://washingtondc.craigslist.org/nva/boa/5887284591.html,
12,good,2016-11-21 20:13,"This slalom kayak is suitable for paddlers between 120-160 lbs with 140 lbs being the ideal weight. It is located in Fredericksburg but I occasionally paddle on the Potomac putting in at Angler's and Lock 5 and can arrange to meet someone at either of these locations. Call, text, or email if you are interested. I can send additional full resolution photos that you can zoom in and examine to see the kayak's condition.",,5887280753,35,,,$400,human, (Fredericksburg),Slalom Kayak 3.5 meter,https://washingtondc.craigslist.org/nva/boa/5887280753.html,
13,fair,2016-11-21 20:10,240 Bently Pontoon 90 HP Mercury low hours Only used in fresh water,,5887276988,24,Bently,240Fish,$8500,power,,24FT Pontoon,https://washingtondc.craigslist.org/nva/boa/5887276988.html,2007
14,excellent,2016-11-21 20:06,"PRICE JUST REDUCED - THIS BOAT IS A STEAL ! OWNERS HAVE MOVED OUT OF STATE AND THIS BOAT MUST BE SOLD IMMEDIATELY ! PRIME SLIP AT THE WORLD CLASS HERRINGTON HARBOR NORTH MARINA HAS BEEN PAID IN ADVANCE TO 4/17 ! - TRULY A BARGAIN ! ' MISS ELLIE' - 1978 32' MARINETTE CABIN CRUISER - BEAUTIFUL - BEAUTIFULLY DECORATED - EXCEPTIONALLY WELL MAINTAINED - MADE BY MARINETTE IN TENNESSEE WITH AIRCRAFT QUALITY ALUMINUM - EXCELLENT PAINT EXCELLENT BOAT FOR BOTH CRUISING AND OR LIVING ABOARD - BEAUTIFULLY DECORATED - ALL AMENITIES AS CLEAN AS IT CAN GET - TWIN 7.9 360 CU CHRYSLERS (FWC) - ONLY 1290 HOURS TWIN - UPPER AND LOWER HELM STATIONS LARGE FLYBRIDGE WITH UPPER HELM AND EXCELLENT GUEST SEATING LARGE AFT DECK - FULL BIMINI COVER WITH FULL SCREEN ENCLOSURES BEAUTIFUL, BRIGHT SALON WITH SETTEE, GUEST SEATING AND FULL LOWER HELM FULLY EQUIPPED, OPEN GALLEY - FULL DINETTE THAT CONVERTS INTO A BED NEW WOOD FLOORS PRIVATE HEAD WITH SHOWER STALL / VANITY - NEW COMPOSTING TOILET SYSTEM - NO HOLDING TANK REQUIRED - NO SMELL - THE BEST YOU CAN GET AND EXPENSIVE - GOOGLE 'NATURES HEAD' AND SEE FOR YOURSELF FULL MASTER CABIN FORWARD WITH QUEEN BED - EXCELLENT STORAGE ROOFTOP AIR CONDITIONING FRESH BOTTOM PAINT AND ZINCS LAST SEASON SHE WILL PASS A STRINGENT SURVEY PLEASE CALL TONY FOUR 1 OH - THREE 5 THREE - FIFTY FIFTY - FOR DETAILS AND AN APPOINTMENT TO SEE THIS FINE MARINETTE THANK YOU",1290,5871137128,32,MARINETTE,CABIN CRUISER,$12500,power, (ANNAPOLIS / DEALE),1978 32' MARINETTE SEDAN CRUISER - BEAUTIFUL - SLIP PAID TO 4/17 !,https://washingtondc.craigslist.org/mld/bod/5871137128.html,1978
15,,2016-11-21 20:06,"Loudoun Motorsports & Power Equipment Ask for: Harold Taylor ☎ show contact info 212 Catoctin Circle SE  Leesburg, VA 20175 Enter this link to see more images plus all other inventory we have available: http://lyv.cc/PBBF 2016 Honda HS720AMA Price: $599.00 Year: 2016 Make: Honda Model: HS720AMA Stock Number: SB6667 VIN: SAAA1036667 Condition: New Loudoun Motorsports & Power Equipment 212 Catoctin Circle SE Leesburg, VA 20175 Ask for: Harold Taylor Primary Phone: show contact info A27FBAFAEA464DBBB650D168074EE06C 15326640 3783809",,5884440023,0,Honda,HS720AMA,$599,, (Leesburg),2016 Honda HS720AMA,https://washingtondc.craigslist.org/nva/bod/5884440023.html,2016
16,excellent,2016-11-21 20:06,"1986 26' LAGUNA SLOOP - BEAUTIFULLY CLEAN AND MAINTAINED - OWNED BY ENGINEERS AMAZING AMOUNT OF INTERIOR SPACE FOR A 26' BOAT - ACTUALLY CAN SLEEP 6 PERFECT FOR CRUISING AND OR LIVING ABOARD - SIX FOOT HEADROOM MADE IN CALIFORNIA - ONLY A FEW WERE MADE - STARTED OUT AS LAGUNA - LATER CHANGED TO WINDROSE - SOLID FIBERGLAS CONSTRUCTION - NO CORING - SOLID AS A ROCK - BEAUTIFUL GELCOAT COMPLETELY DRY BOAT - NO LEAKS OR MILDEW / MOLD - 8 OPENING PORTHOLES / FRONT HATCH - FOR EXCELLENT VENTILATION LARGE COCKPIT WITH CUSTOM COCKPIT CUSHIONS - CUSTOM BIMINI - TILLER STEERING - VERY LARGE, RESPONSIVE RUDDER - STORAGE LOCKER MAIN SAIL - ROLLER FURLING JIB - REPLACED SEASON BEFORE LAST - BEAUTIFUL, CRISPY AND WHITE ! SPACIOUS, BRIGHT SALON - DINETTE THAT MAKES INTO A BED - V BERTH FORWARD - WITH FOLDING PRIVACY CURTAIN - EXTREMELY LARGE AFT BUNKS ALL CUSHIONS ARE EXCEPTIONALLY CLEAN AND JUST ABOUT PERFECT - HANGING / STORAGE LOCKER GALLEY WITH S/S/ SINK WITH HAND PUMP - POLY WATER TANK UNDER V BERTH / DEEP COLD BOX / ORIGIO 2 BURNER ALCOHOL STOVE (NOT THE PRESSURIZED KIND - THEY ARE UNSAFE) NAV STATION WITH FOLD UP DESK - ICOM VHF - SONY STEREO WITH CD PLAYER - EXCELLENT SPEAKERS - DIGITAL DEPTH FINDER AND COMPASS ON COCKPIT BULKHEAD PRIVATE, MANUAL HEAD WITH FOLDING PRIVACY CURTAIN - POLY HOLDING TANK - DECK PUMP OUT - OVERBOARD DISCHARGE WITH Y VALVE AUTOMATIC BILGE PUMP - WHALE GUSHER PUMP COMPLETE 115 VOLT 30 AMP SHORE POWER SYSTEM - WITH DEDICATED PANEL AND OUTLETS COMPLETE 12V SYSTEM WITH DEDICATED PANEL ALWAYS BEEN AN OUTBOARD POWERED BOAT WITH A HEFTY BRACKET ON THE TRANSOM - DO NOT HAVE A OUTBOARD ENGINE - YOU WILL HAVE TO PROVIDE YOUR OWN OR WE CAN OBTAIN ONE FOR YOU (NO OLD STINKY, SHOT INBOARD IN BILGE) SPECS ARE - LOA 26' / BEAM 8.3' / DRAFT 3.8 FEET - FIXED KEEL - DISPLACEMENT 3,900 LBS - BALLAST 1,500 LBS THIS BOAT IS EXCEPTIONAL AND HARD TO FIND IN CONSTRUCTION - QUALITY - CLEANLINESS - SPACIOUSNESS - CONDITION, ETC - NEEDS NOTHING - NO EXCUSES PLEASE CALL TONY FOUR 1 OH - THREE 5 THREE - FIFTY FIFTY OR CALL MIKE - FOUR 1 OH - NINE NINE ONE - FIFTY FIFTY THANK YOU Key on Catalina O'Day Hunter C&C",,5883826999,26,LAGUNA,SAILBOAT SLOOP,$3250,sail, (ANNAPOLIS / EDGEWATER),1986 26' LAGUNA SLOOP - BEAUTIFUL - SAIL AWAY CONDITION,https://washingtondc.craigslist.org/nva/bod/5883826999.html,1986
17,,2016-11-21 19:48,"1988 28' SeaRay 270 Sundancer *Motivated Seller: All offers considered.* SELLING AS IS: Starboard engine needs work. Surveyed at $15k last summer. Currently in-slip in Washington, DC. Twin 4.3 Liter V6 Mercruisers (replaced in 2002 and 2006) Alpha 1 Drives Triple batteries with charger 120 gallon fuel tank 40 gallon water tank Halon Fire System Bennett Trim Tabs Full canvas enclosure 6 gallon water heater Shower power with cord Windless VHF Radio 25 watt Garmin fixed mount GPS 2.5 gallon waste tank AM/FM/CD Sleeps 4-6 New bottom paint summer 2015 Portable generator included",,5887157430,28,SeaRay,Sundancer 270,$2500,power, (Washington DC),Searay 270 Sundancer  - 28 ft,https://washingtondc.craigslist.org/doc/boa/5887157430.html,1988
18,good,2016-11-21 19:22,"17 ft Cajun Sport. Repowered in 2015 with a brand new 115 HP Mercury 4 stroke with a stainless steel prop. New steering cables and control box installed. Tank cleaned and water separator installed. New bilge and aerator pumps. 55 LB 24v trolling motor (two batteries) New bow control switches and timers. Boat runs great starts right up always washed down after use. Sips gas, has a 25 gallon tank that I've never had to put more then 7 gallons in after being out all day. Trailer has two new tires on it and LED lighting. Turn key boat had it out last weekend and several times this summer. Stored in garage. Seats are in ok shape no tears. Bench seats need to have the bottom straps reattached. Floor is solid. Everything works as it should. Several accessories included. Let me know if you have any questions. Title for trailer and boat in hand. $7000..OBO No trades. I'm not in a rush to sell it.",90,5864997277,17,Mastercraft,Ragin Cajun Sport,$7000,power, (Gainesville),17' Cajun (Mastercraft) Ragin Sport Fish and Ski Bass boat,https://washingtondc.craigslist.org/nva/boa/5864997277.html,1991
19,good,2016-11-21 17:53,"I have for sale a 2003 maxum 2400 cabin cruiser on a 2004 venture trailer. Has a mercruiser 5.0,  runs great. Boat has everything you need to spend the weekend out on the water. It has heat/ac, hot water heater, two sinks, microwave, toilet, shower, tv/dvd, refrigerator, two beds, two tables, remote spotlight, GPS, trim tabs, full enclosure, etc. $13900",,5883620790,25,Maxum,,$13900,power, (Fredericksburg va),2003 Maxum 2400 Cabin Cruiser,https://washingtondc.craigslist.org/nva/boa/5883620790.html,2003
20,excellent,2016-11-21 17:36,"Beautiful, Clean inside and out, Shiny and FAST 1999 Polaris 1050 SLX, 2 Passenger.  So much done to make it so, is capable of 65 mph.  Had to replace for Ignition , the Engines Stator and CDI with latest upgrade versions,  $650+.... also rebuilt the top end with New Piston, Rings, Pins, Pin Bearings and Gaskets, $300+.... Cleaned the fuel system and rebuilt the Carbs and added a primer system, Replaced the Multi Function Display and AGM Battery. Finished it up Cleaning and Polishing this Fast Little Jet Ski... Clear Title in hand and ready to go, Comes with a Good Valu-line Trailer with New Lights and Tie down strap......      Rebuilt over Winter, ran last weekend out of Spa Creek to Breakin, now ready to go , runs great..... pulled carbs again and replaced stuck Nylon Idle speed screw, now can adjust Idle easily.... CASH and CARRY, NO B.S.  Price is  $2,495................ Call Pete @ show contact info to Get direction, come see, hear and Buy................",,5870753113,9,Polaris,SLX 1050CC,$2495,power," (Mitchellville, Md.)",Seadoo-1999 Polaris 1050CC SLX,https://washingtondc.craigslist.org/mld/boa/5870753113.html,1999
21,excellent,2016-11-21 17:36,"Nice Clean, rebuilt 1998 Kawasaki 750+CC , Nice 10'2"" Stable 3 Passenger Jet ski with reverser,  Bored the Cylinders .020 Oversize with New Pistons, Rings, Pins, Pin Bearings and Gaskets, cleaned fuel system and Rebuilt the Carbs and installed a primer system. Brand NEW Battery and Reupholstered.... Starts and runs Great, Clear title in hand and Ready to go... Comes with a Water-Bug trailer with all new wheels , tires, lights, wench, fenders and tie down strap.....   Rebuilt over Winter, ran last weekend out of Spa Creek to Breakin, now ready to go , runs great..... CASH and CARRY, NO B.S.  Price is  $1,995................ Call Pete @ show contact info to Get direction, come see, hear and Buy................",,5870752231,10,Kawasaki,3 Passenger PWC,$1995,power," (Mitchellville, Md.)",Seadoo-1998 Kawasaki 750+CC  Jet Ski,https://washingtondc.craigslist.org/mld/boa/5870752231.html,1998
22,,2016-11-21 16:58,"-1995 Tigershark 640 -Rebuilt motor (runs, good compression, new pistons, new gaskets, new crank, new spark plugs) -Full hull intact with no damage -Trailer included -Project or parts ski -Must sell asap -Buyer must pick up from location -Title included -Serious inquiries only, sold as is. Contact me for more information. -Asking $500 ski all parts and trailer",,5887018525,9,Polaris,Tigershark,$500,power, (Manassas),1995 Tigershark Jet Ski newly rebuilt motor and trailer,https://washingtondc.craigslist.org/nva/boa/5887018525.html,1995
23,excellent,2016-11-21 16:50,"2008 Sea Doo 230 Wake. With room for 12 passengers, you can bring the entire family on the river/lake for hours of entertainment. Whether you just want to cruise in luxury or take advantage of the wake and ski capabilities this boat is sure to please. The 230 Wake is powered by twin jet propulsion engines that crank out 430 hp. Not to mention the fuel tank holds 53 gallons, which means the fun can last for hours! Some of the unique features of this boat include a retractable windshield system, wake tower with racks and speakers, PerfectPass WakeboardPro speed control, cockpit controlled dual ballast tanks, snap-in carpet, and plenty of storage! The boat comes with a trailer and a custom snap cover too. The boat has been properly winterized and spring-prepped each season. Other than traditional wear and tear or docking and loading the boat is in great condition!",342,5865518057,23,Sea Doo,230 Wake,$19500,power, (Alexandria),2008 Sea Doo 230 Wake,https://washingtondc.craigslist.org/mld/boa/5865518057.html,2008
24,,2016-11-21 16:29,"Used Dagger Blast Great River kayak for a big kid or small adult. Long, narrow kayak goes fast and is fun to learn in. PFD's, paddles, helmets, float bags and skirts also available. Swing by the store to try it out! Or email for more info. We buy, trade and sell all types of used paddling gear. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886972298,9,Dagger,Blast,$399,human, (9812 Falls Rd),Used Dagger Blast,https://washingtondc.craigslist.org/mld/bod/5886972298.html,
25,like new,2016-11-21 16:21,"Perfect for waterfowl hunters and fishermen! This boat is in like new condition, it has never been in the water - has been stored indoors since purchase. It is a shallow draft boat and highly maneuverable - perfect for getting into hard to access areas. The motor (also in unused condition) is a 52lb thrust electric motor connected to a gunwale-mounted control panel for forward/reverse control.  Directional control of the boat is via floor-mounted foot pedals connected to the motor head, allowing hands-free steering! Additionally, it is equipped with a cushioned seat, live well (currently not drilled allowing dry storage), steering pedals, transom plate, and drain plug. I am providing 2 wooden paddles and a new battery. Will entertain reasonable offers.",,5886958783,10,Creek,One Man,$900,power, (Manassas),1-man Fishing/Hunting Boat,https://washingtondc.craigslist.org/nva/boa/5886958783.html,2001
26,,2016-11-21 16:12,"Time to thin out the stable (again). Boats that are for sale are as follows: Slalom K1 (center of kayaks leaning on the house) $400 Dagger RPM (red on to the right leaning on the house, VERY GOOD CONDITION, bottom is in wonderful shape) $450) Dagger Dynamo (not in photo but the same as the one to the far right leaning on the house) $300 Prijon Performance (red to the right of the green Kendo) $300 Prijon Cross (green boat on the left, very good condition) $350",,5886944818,0,,,,human,,White Water Kayaks,https://washingtondc.craigslist.org/nva/boa/5886944818.html,
27,,2016-11-21 15:53,"Used Wavesport Score This boat is in fantastic condition. Learn to throw ends in this cartwheel machine. PFD's, paddles, helmets, float bags and skirts also available Swing by the store to try it out! Or email for more info. We buy, trade and sell all types of used paddling gear. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886895285,8,Wavesport,Score,$349,human, (Potomac),Wavesport Score Whitewater Kayak,https://washingtondc.craigslist.org/mld/bod/5886895285.html,
28,,2016-11-21 15:52,"Used Lifetime Arrow These boats have been used for out flatwater trips this season, stable and easy to control. The boats come with a paddle holder, adjustable footpegs and a built in Skeg wheel to help transport your boat from the parking lot to the river. Color choice of green or orange. PFD's, paddles and carts also available . We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886888333,10,Lifetime,Arrow,$199,human, (Potomac),Used Lifetime Arrow flatwater Kayak,https://washingtondc.craigslist.org/mld/bod/5886888333.html,
29,,2016-11-21 15:50,"Used but still in great condition. Very stable and easy to use. Comes with a skeg. Ample storage capacity, yet light enough to handle with ease. Helmets, Paddles, PFD's and Skirts also available. Swing by the store to try it out! Or email for more info. We buy, trade and sell all types of used paddling gear. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886908253,10,Dagger,Axis 10.5,$499,human, (Potomac),Dagger Axis 10.5 Kayak,https://washingtondc.craigslist.org/mld/bod/5886908253.html,
30,,2016-11-21 15:50,"Solace Pura Vida SUP Board 10' 6 A blast to ride in multiple scenarios! The proven all-around shape results in a board that glides well over the water and has great stability even if you wanting a board for YOGA. PFD's, paddles and carts also available. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886907692,10,Solace,Pura Vida,$999,human, (Potomac),Used Solace Pura Vida SUP Board,https://washingtondc.craigslist.org/mld/bod/5886907692.html,
31,,2016-11-21 15:49,"Used Perception Pirouette S Older style whitewater kayak. Great boat for river running and attaining! PFD's, paddles, helmets, float bags and skirts also available. Swing by the store to try it out! Or email for more info. We buy, trade and sell all types of used paddling gear. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886906558,11,Perception,Pirouette,$299,human," (Potomac, MD)",Used Perception Pirouette S,https://washingtondc.craigslist.org/mld/bod/5886906558.html,
32,,2016-11-21 15:49,"Used Jackson Star Great Playboat for the smaller paddler . Boat has been hardly used! A great playboat for throwing learning how to play and progressing your skills. and its PINK!! Comes with Happy Feet! Come in the store to check it out Helmets, Paddles, PFD's and Skirts also available. Swing by the store to try it out! Or email for more info. We buy, trade and sell all types of used paddling gear. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886887955,5,Jackson,Star,$349,human, (Potomac),Used Jackson Star Kayak,https://washingtondc.craigslist.org/mld/bod/5886887955.html,
33,,2016-11-21 15:49,"Used Dagger Crossfire Older style whitewater kayak. Great boat for river running and attaining! PFD's, paddles, helmets, float bags and skirts also available. Swing by the store to try it out! Or email for more info. We buy, trade and sell all types of used paddling gear. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886905991,11,Dagger,Crossfire,$299,human," (Potomac, MD)",Used Dagger Crossfire,https://washingtondc.craigslist.org/mld/bod/5886905991.html,
34,,2016-11-21 15:49,"Used Wilderness System Pungo 120 The best-selling Pungo features an impressive balance of manageability, stability, speed, and comfort. Ample storage capacity, yet light enough to handle with ease. Helmets, Paddles, PFD's and Skirts also available. Swing by the store to try it out! Or email for more info. We buy, trade and sell all types of used paddling gear. We are located at 9812 Falls Rd. Ste 121, Potomac, Md 20854",,5886905462,12,Wilderness Systems,Pungo 120,$749,human, (Potomac),Used Wilderness Systems Pungo 120 Kayak,https://washingtondc.craigslist.org/mld/bod/5886905462.html,
