,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,model name / number,price,propulsion type,region,title,url,year manufactured
10,good,2016-12-09 11:01,"Selling a well conditioned 22' Proline powerboat. Small cabin, perfect for island hopping or day trips.  Comes with a trailer for easy access to and from the water. Recently serviced:: *2006* 175hp Mercury Verado 4-stroke engine, running great. Won't last long.",,5912069441,22,ProLine,,$12500,power," (Coral Bay, STJ)",22' Proline w/ 175hp Mercury Verado **TRAILER INCLUDED**,https://virgin.craigslist.org/boa/5912069441.html,1994
11,good,2016-12-09 10:55,Hi We are selling our successful day sailing and snorkeling business located in St. Thomas VI. Great income with room for growth....survey and more information upon request,,5912062750,37,,,$65000,sail, (st thomas VI),Day-Sailing Business & Tartan 37,https://virgin.craigslist.org/boa/5912062750.html,
12,good,2016-12-09 10:12,"I'm looking to buy a well taken care of inflatable dinghy in the 10 foot or so range. 9' would work, and could probably make 11' or 12' work. Outboard needs to be reliable. Text me with what you have and price. If it's not on St Thomas, or in the Red Hook area, we may be able to make arrangements. Thanks!",,5912008952,10,inflatable,dinghy,$1,power, (St Thomas - Red Hook),Wanted - inflatable dinghy,https://virgin.craigslist.org/boa/5912008952.html,
13,,2016-12-09 07:58,"For sell 55' Aluminum Mast out of 50' catamaran / cut in three pieces ... two 24' length great beams, too build a big beach cat with ...$500 .. call show contact info",,5869876696,55,,,$500,sail, (ST. John),55' Aluminum Mast for a 50' cateraman,https://virgin.craigslist.org/boa/5869876696.html,
14,,2016-12-09 05:42,"Spinlock tiller extension that extends 24"" to 36"".  Round grip plastic handle .  Like new. Model E-900S",,5911862635,36,,,$35,sail, (STX),Spinlock Tiller Extension for sale,https://virgin.craigslist.org/boa/5911862635.html,
15,new,2016-12-08 18:49,"Web Spot Boat Wash Down System , $800 New / Never Used. Great to wash down boat, NO SPOTS!! Will sell for $500 firm Call Ted At show contact info $800 on amazon and other site:  Will sell for $500  firm Wet Spot Plus by Wet Spot Price:	$722.38 + $60 shipping",0,5911397692,36,Wet Spot,Extra Large,$500,human, (St John),Soft Spot Boat Wash Down System,https://virgin.craigslist.org/boa/5911397692.html,2016
16,excellent,2016-12-08 18:42,"We can also help you charter this boat . 43 Ft Chris Craft Roamer  2004 m/y USCG Documented vessel, well maintained. Self-contained excellent live aboard boat  Update electronics and controls, Fusion sound 10 speaker system, water maker, solar panels many updates. All new Seat and Enclosures Capt Ted Prosser See more at www.bluemysticcharters.com. Dimensions LOA: 43 ft 0 in Beam: 14 ft 0 in Maximum Draft: 3 ft 2 in Dry Weight: 27000 lbs Engines Two (2) Total Power: 880 HP Engine 1: Engine Brand: Yanmar Year Built: 2004 Engine Model: 440 Engine/Fuel Type: diesel Engine Power: 440 HP Cruising Speed: 20 knots Maximum Speed: 25 knots Tanks Fresh Water Tanks: (95 Gallons) Fuel Tanks: (400 Gallons) Holding Tanks: (35 Gallons) Accommodations Number of cabins: 2 Number of heads: 2 Watermaker and Generator Solar Panels",789,5911362251,43,Chris Craft,2004 Roamer 43,$215000,power," (St John, USVI)",Charter Boat Chris Craft 2004  / St John,https://virgin.craigslist.org/boa/5911362251.html,
17,excellent,2016-12-08 18:28,"43 Ft Chris Craft Roamer  2004 m/y Coast Guard Documented vessel, well maintained. Self-contained excellent live aboard boat  Update electronics and controls, Fusion sound 10 speaker system, water maker, solar panels many updates. New seat , enclosure ! Capt Ted Prosser See more at www.bluemysticcharters.com. Dimensions LOA: 43 ft 0 in Beam: 14 ft 0 in Maximum Draft: 3 ft 2 in Dry Weight: 27000 lbs Engines Two (2) Total Power: 880 HP Engine 1: Engine Brand: Yanmar Year Built: 2004 Engine Model: 440 Engine/Fuel Type: diesel Engine Power: 440 HP Cruising Speed: 20 knots Maximum Speed: 25 knots Tanks Fresh Water Tanks: (95 Gallons) Fuel Tanks: (400 Gallons) Holding Tanks: (35 Gallons) Accommodations Number of cabins: 2 Number of heads: 2 Watermaker and Generator Solar Panels",789,5911368995,43,Chris Craft,2004 Roamer 43,$215000,power," (St John, USVI)",Chris Craft 2004  St John,https://virgin.craigslist.org/boa/5911368995.html,
18,excellent,2016-12-08 18:27,"43 Ft Chris Craft Roamer  2004 m/y Coast Guard Documented vessel, well maintained. Self-contained excellent live aboard boat  Update electronics and controls, Fusion sound 10 speaker system, water maker, solar panels many updates. New seat , enclosure ! Capt Ted Prosser See more at www.bluemysticcharters.com. Dimensions LOA: 43 ft 0 in Beam: 14 ft 0 in Maximum Draft: 3 ft 2 in Dry Weight: 27000 lbs Engines Two (2) Total Power: 880 HP Engine 1: Engine Brand: Yanmar Year Built: 2004 Engine Model: 440 Engine/Fuel Type: diesel Engine Power: 440 HP Cruising Speed: 20 knots Maximum Speed: 25 knots Tanks Fresh Water Tanks: (95 Gallons) Fuel Tanks: (400 Gallons) Holding Tanks: (35 Gallons) Accommodations Number of cabins: 2 Number of heads: 2 Watermaker and Generator Solar Panels",789,5911367796,43,Chris Craft,2004 Roamer 43,$215000,power," (St John, USVI)",Chris Craft 2004  St John,https://virgin.craigslist.org/boa/5911367796.html,
19,good,2016-12-08 14:54,"1996 19' Bayliner walk around cuddy cabin. Has a 2003 Johnson 150hp with very low hours. Motor has been completely gone through, tuned up, and runs excellent. Many new parts, bilge pumps, dual batteries, fuel/water separator, rod holders, vhf marine radio (solar powered), bimini top, has bracket for small kicker motor, bottom is freshly painted. VRO is disconnected and pre-mix fuel/oil. Comes with trailer that has new hubs/bearings and bunks. Great boat to run around with to Buck, fishing/diving etc. Reduced Priced by 2K  for quick sale. Call show contact info",,5897694380,19,Bayliner,Trophy,$9500,power, (STX),Bayliner Trophy Boat,https://virgin.craigslist.org/boa/5897694380.html,1996
20,,2016-12-08 10:15,"Laser sailboat hull and dolly great learner or 1st boat to get into sailing, this boat needs mast ,sail ,and rudder ,and lines .",,5910598945,14,,,$300,sail, (st croix),Laser  sailboat hull  and dolly,https://virgin.craigslist.org/boa/5910598945.html,
21,,2016-12-08 09:26,"re certified in 2015 75 & 68 man lifeboats with dual starting systems and 80hp engine, fiberglass hull, great for conversions into live aboard, fishing boat, ferryboat, dive boat, whale watching boat. Boats are in perfect working order with current certification.",,5910511824,34,,,$5000,power, (gulf of mexico),75 & 68 man lifeboats,https://virgin.craigslist.org/boa/5910511824.html,
22,good,2016-12-08 09:12,"40 Ft charter catamaran actively being used to take daysail snorkel trips. Boat comes with all safety and snorkel gear.  Coast guard certified and inspected for 33 passengers and 2 crew.  All paperwork is current. 40hp yamaha, electric head, stereo and chart plotter.",,5892246619,40,,,$95000,sail, (St. Thomas),Charter catamaran for sale,https://virgin.craigslist.org/boa/5892246619.html,1980
23,good,2016-12-08 07:20,"Cal 27' located on a permanent mooring. The boat is in generally good condition and currently sailed on a regular basis. Set up as a live aboard with head and holding tank, solar panel, led lights and good fans. New North mainsail, good ground tackle, large awning, new standing rigging. Comes with Tortola skiff as a dinghy. Last hauled out 8 months ago, clean bottom! Boat is ready to sail, and be lived on.",,5910481039,27,Cal yachts,Cal 272,$10000,sail, (St John),Cal 27 on St John,https://virgin.craigslist.org/boa/5910481039.html,1978
24,excellent,2016-12-08 05:53,"I have a turn key ready 1989 O'Day 322 with new (and 2nd set) sails, new auto pilot, chart plotter, 44# Rocna anchor, bottom paint, etc. I started in Florida six months ago and am in the BVI now but will need to head home soon. She's solid and proven and has a closing door on the aft berth, nice for a guest. I've had an adventure, hope someone else can do the same, and am only asking what I have in her, $24,000. 32' long. 4 1/2' draft. 10 1/2 beam. Includes dinghy and outboard. Message me if you'd like more info and pictures",1000,5910450192,32,O'Day,322,$24000,sail, (St. Thomas),1989 O'Day 322,https://virgin.craigslist.org/boa/5910450192.html,1989
25,,2016-12-07 22:37,"Many upgrades, text me for details. show contact info",,5883908942,41,Gulfstar,center cockpit ketch,$15000,sail, (STJ),41' Gulfstar,https://virgin.craigslist.org/boa/5883908942.html,1974
26,fair,2016-12-07 18:32,40 ft endeavor Rough shape but could make a great live aboard with some work .I dont have time to finish it . It is a total project boat. Boat has a working head. The electrical and plumbing need to be re-done.,,5909953540,40,Endeavor,,$3000,sail,,40ft endeavor,https://virgin.craigslist.org/boa/5909953540.html,1985
